multa_id,patente,fecha,hora,velocidad_registrada,velocidad_maxima,ubicacion,radar_id,estado_multa,exceso_velocidad_real,exceso_velocidad
3,WU341A,2022-07-17,09:01,107.0,60,AV LIBERTADOR,R03,PAGADA,47.0,50.0
8,BP717,2023-01-11,08:01,70.0,60,AV SIEMPRE VIVA,R01,PAGADA,10.0,13.0
17,5777770,2020-01-29,09:02,93.0,40,AV SIEMPRE VIVA,R02,APELADA,53.0,55.0
22,RFH373,2020-10-15,09:02,121.0,80,AV LIBERTADOR,R01,IMPAGA,41.0,45.0
24,XIIUME,2021-06-12,08:01,52.0,40,AV SIEMPRE VIVA,R03,IMPAGA,12.0,14.0
40,VTIIAHV,2023-04-30,09:03,71.0,60,AV LIBERTADOR,R03,APELADA,11.0,14.0
41,6611172,2022-02-26,08:02,109.0,60,AV LIBERTADOR,R02,PAGADA,49.0,52.0
50,GCP332,2023-12-08,08:02,66.0,40,AV SIEMPRE VIVA,R02,APELADA,26.0,28.0
51,BB8986,2023-04-18,08:03,90.0,80,RUTA 9,R02,IMPAGA,10.0,14.0
57,NTHGLFT,2022-05-26,09:04,93.0,80,AV SIEMPRE VIVA,R02,PAGADA,13.0,17.0
59,FD1475,2022-01-07,14:03,59.0,40,RUTA 9,R02,PAGADA,19.0,21.0
69,VNK296GP,2021-05-25,18:02,77.0,40,RUTA 9,R03,IMPAGA,37.0,39.0
71,RFH373,2021-07-14,09:05,116.0,80,AV LIBERTADOR,R01,PAGADA,36.0,40.0
72,HK06YMX,2021-05-30,14:03,104.0,60,AV SIEMPRE VIVA,R02,PAGADA,44.0,47.0
81,8B90638,2022-04-10,18:03,108.0,60,AV SIEMPRE VIVA,R03,IMPAGA,48.0,51.0
82,5777770,2020-02-13,09:05,60.0,40,AV SIEMPRE VIVA,R01,PAGADA,20.0,22.0
93,3646HBH,2022-04-23,08:04,73.0,60,AV LIBERTADOR,R01,IMPAGA,13.0,16.0
101,RFH373,2022-12-05,14:04,101.0,40,AV LIBERTADOR,R01,PAGADA,61.0,63.0
136,2999961,2023-01-03,08:06,40.0,40,AV SIEMPRE VIVA,R01,PAGADA,0.0,2.0
145,GOOGLE,2022-05-09,18:06,42.0,40,AV LIBERTADOR,R02,APELADA,2.0,4.0
146,T0YDR,2022-07-03,18:07,125.0,80,AV LIBERTADOR,R02,APELADA,45.0,49.0
150,INTIGR8,2020-01-04,08:07,100.0,60,AV SIEMPRE VIVA,R03,APELADA,40.0,43.0
161,990XYK,2020-04-26,09:08,82.0,60,AV LIBERTADOR,R01,APELADA,22.0,25.0
162,NTHGLFT,2020-06-10,08:07,118.0,60,AV LIBERTADOR,R03,IMPAGA,58.0,61.0
170,WEFLYN,2021-01-18,18:08,88.0,80,AV LIBERTADOR,R02,PAGADA,8.0,12.0
172,810TCH,2020-02-08,14:05,110.0,40,RUTA 9,R03,APELADA,70.0,72.0
178,WU341A,2020-11-18,09:09,70.0,60,RUTA 9,R02,PAGADA,10.0,13.0
190,VNK296GP,2020-03-03,09:10,153.0,80,AV LIBERTADOR,R01,PAGADA,73.0,77.0
193,3646HBH,2021-04-03,09:10,117.0,40,AV SIEMPRE VIVA,R01,PAGADA,77.0,79.0
200,5777770,2022-09-13,14:06,85.0,60,RUTA 9,R02,PAGADA,25.0,28.0
204,6611172,2020-04-18,14:06,93.0,80,AV LIBERTADOR,R03,PAGADA,13.0,17.0
214,0695DVH,2023-03-30,18:09,61.0,60,AV LIBERTADOR,R03,APELADA,1.0,4.0
216,M431ZW,2022-03-07,09:11,109.0,60,RUTA 9,R03,APELADA,49.0,52.0
221,RFH373,2021-11-24,09:11,156.0,80,AV SIEMPRE VIVA,R02,APELADA,76.0,80.0
229,8B90638,2022-06-16,18:10,104.0,60,AV LIBERTADOR,R01,PAGADA,44.0,47.0
231,AI7OVF,2021-04-05,14:07,108.0,60,AV LIBERTADOR,R03,APELADA,48.0,51.0
236,831MDB,2020-09-05,08:09,70.0,60,RUTA 9,R03,PAGADA,10.0,13.0
240,W326AVE,2020-07-31,08:10,100.0,80,AV SIEMPRE VIVA,R01,APELADA,20.0,24.0
247,GN64OTP,2022-01-18,18:11,141.0,80,RUTA 9,R02,APELADA,61.0,65.0
249,6611172,2020-04-13,08:10,78.0,60,AV LIBERTADOR,R02,APELADA,18.0,21.0
259,HAMSTUR,2021-09-30,14:09,141.0,80,AV SIEMPRE VIVA,R03,PAGADA,61.0,65.0
263,990XYK,2020-11-03,18:12,98.0,60,AV SIEMPRE VIVA,R02,PAGADA,38.0,41.0
275,WEFLYN,2022-03-15,14:09,139.0,80,AV LIBERTADOR,R03,APELADA,59.0,63.0
294,810TCH,2023-11-09,18:14,82.0,40,RUTA 9,R03,IMPAGA,42.0,44.0
306,XIIUME,2023-07-26,08:12,133.0,80,AV SIEMPRE VIVA,R02,IMPAGA,53.0,57.0
307,409,2023-01-06,18:14,96.0,40,RUTA 9,R01,PAGADA,56.0,58.0
311,CBMUK,2023-04-02,09:13,120.0,40,RUTA 9,R01,PAGADA,80.0,82.0
315,MPX9357,2020-02-10,09:14,104.0,60,AV LIBERTADOR,R03,IMPAGA,44.0,47.0
329,UM96201,2021-11-17,18:15,133.0,60,RUTA 9,R03,APELADA,73.0,76.0
330,FVIOUHP,2022-06-30,08:13,61.0,60,RUTA 9,R03,PAGADA,1.0,4.0
340,T0YDR,2021-10-25,18:15,105.0,40,AV LIBERTADOR,R03,APELADA,65.0,67.0
342,6611172,2023-12-03,09:16,79.0,40,AV LIBERTADOR,R03,APELADA,39.0,41.0
354,HF58HXP,2020-12-25,14:12,105.0,80,AV LIBERTADOR,R01,APELADA,25.0,29.0
356,MX60NZA,2022-09-11,09:16,67.0,60,AV LIBERTADOR,R02,PAGADA,7.0,10.0
371,8B90638,2023-10-10,18:17,90.0,40,RUTA 9,R01,IMPAGA,50.0,52.0
380,691XC80,2023-09-29,09:18,103.0,80,AV LIBERTADOR,R01,APELADA,23.0,27.0
385,409,2021-07-14,08:14,45.0,40,AV LIBERTADOR,R02,APELADA,5.0,7.0
389,GE1466,2023-02-18,14:13,112.0,80,AV LIBERTADOR,R03,IMPAGA,32.0,36.0
407,6EVY261,2022-06-20,08:15,115.0,60,RUTA 9,R01,PAGADA,55.0,58.0
408,MVU4688,2022-06-15,18:18,91.0,40,AV LIBERTADOR,R02,IMPAGA,51.0,53.0
414,YLO8WUE,2021-02-19,09:20,59.0,40,AV LIBERTADOR,R02,IMPAGA,19.0,21.0
419,T0YDR,2020-07-18,08:15,61.0,60,RUTA 9,R02,APELADA,1.0,4.0
